 name                                           , location                                         , start_year , end_year , deaths  , est_low , est_upp , pop        , type            
Plague of Athens,"Athens, Greece",-430,-426,88,75,100,50000000, Non-Respiratory 
Antonine Plague,Roman Empire,165,180,7500,5000,10000,239463671, Non-Respiratory 
Plague of Cyprian,Europe,249,262,310,      ,      ,234363097, Non-Respiratory 
Plague of Justinian,"North Africa, Europe, West Asia",541,544,57500,15000,100000,260875494, Non-Respiratory 
Plague of Amida,Amida,562,562,30,30,30,264706552, Non-Respiratory 
Plague of Sheroe,"Sheroe, Bilad al-Sham",627,628,100,,,273449871, Non-Respiratory 
Plague of Basra,Basra,688,689,72,,,277541224, Non-Respiratory 
Japanese smallpox epidemic,Japan,735,737,1250,1000,1500,280979514, Respiratory     
Black Death,Europe,1346,1353,50000,,,449836211, Non-Respiratory 
Hispaniola Smallpox Epidemic,Hispaniola,1507,1519,200,67,333,503967860, Respiratory     
Smallpox Epidemic in Mexico,Mexico,1519,1520,6500,5000,8000,505539441, Respiratory     
Cocoliztli Epidemic of 1545-1548,Mexico,1545,1548,10000,5000,15000,508944534, Unknown         
Typhus epidemic among Hungary invasion,Austrian army in Hungary,1560,1560,30,      ,      ,510909011, Non-Respiratory 
London plague of 1563,"London, England",1563,1564,20,20,20,511301907, Non-Respiratory 
Cocoliztli Epidemic of 1576,Mexico,1576,1578,2250,2000,2500,513004453, Non-Respiratory 
Second Plague of Venice,Venice,1576,1577,50,      ,      ,513004453, Unknown         
Venezuelan Smallpox Epidemic,Venezuela,1580,1580,19,18,20,513528314, Respiratory     
London plague of 1592,"London, England",1592,1593,18,      ,      ,515099895, Non-Respiratory 
Plague in Spain,Spain,1596,1602,650,17,19.5,515623756, Non-Respiratory 
London Plague of 1603,London,1603,1603,33,600,700,518526894, Non-Respiratory 
Thirty Years War Epidemic,Central Europe,1618,1649,6250,31,35,530423286, Non-Respiratory 
London Plague of 1625,London,1625,1625,46,4500,8000,535974936, Non-Respiratory 
Italian plague of 1629-1631,Italy (Northern),1629,1630,2000,      ,      ,539147307, Non-Respiratory 
London Plague of 1636,London,1636,1637,13,      ,      ,544698957, Non-Respiratory 
Spanish Plague of 1637–1640,Spain,1637,1640,20,      ,      ,544698957, Non-Respiratory 
Spanish Plague of 1646–1652,"Seville, Spain",1646,1652,600,      ,      ,553422978, Non-Respiratory 
Plague in Kingdom of Naples,Italy,1656,1658,1060,,,560560813, Non-Respiratory 
Plague in Rome,Rome,1656,1657,15,550,650,560560813, Non-Respiratory 
Smallpox Epidemic in South America,Brazil,1660,1669,64,870,1250,563733184, Non-Respiratory 
London Typhus Epidemic of 1661-1665,London,1661,1665,15.7,      ,      ,564526277, Non-Respiratory 
Plague in the Netherlands,"Amsterdam, Netherlands",1663,1664,25,      ,      ,566112462, Respiratory     
Great Plague of London,"London, England",1665,1666,100,      ,      ,567698648, Non-Respiratory 
Plague of Malta,Malta,1675,1676,11,,,575629576, Non-Respiratory 
Spanish Plague of 1678–1682,Spain,1678,1682,250,,,578801947, Non-Respiratory 
Plague of Vienna,"Vienna, Austria",1679,1679,76,,,578801947, Non-Respiratory 
Plague of Prague,Prague,1681,1681,83,,,580388133, Non-Respiratory 
Great Northern War plague outbreak,Europe,1700,1721,190,,,595456896, Non-Respiratory 
Great Smallpox Epidemic in Iceland,Iceland,1707,1709,18,      ,      ,611220179, Non-Respiratory 
London Typhus Epidemics of 1709-1720,London,1709,1720,41,180,200,615723974, Non-Respiratory 
Great Plague of Marseille,"Marseille, France",1720,1722,120,18,18,648184768, Respiratory     
Great Plague of 1738,Balkans,1730,1740,36,40.524,42.324,695962214, Non-Respiratory 
Cocolizti epidemic of 1736,Mexico,1736,1736,40,      ,      ,689696653, Non-Respiratory 
Dysentery Epidemic in France,France,1738,1742,200,      ,      ,695962214, Non-Respiratory 
Irish Typhus and Dysentery Epidemic,Ireland,1740,1741,80,      ,      ,702227776, Unknown         
French Typhus Epidemic,France,1741,1742,80,      ,      ,702227776, Non-Respiratory 
Typhus in the Siege of Prague,Prague,1741,1741,30,      ,      ,712438080, Non-Respiratory 
German Typhus Epidemic,Germany,1757,1763,18,      ,      ,777762272, Non-Respiratory 
Indian Smallpox Epidemic of 1769-1770,India,1769,1770,63,      ,      ,823981837, Non-Respiratory 
Russian plague of 1770-1772,Russia,1770,1772,76,      ,      ,827951488, Non-Respiratory 
Dysentery Epidemic in Sweden,Sweden,1770,1775,35,      ,      ,827951488, Respiratory     
1770s Smallpox Epidemic,Western Washington,1770,1780,11,52,100,827951488, Respiratory     
Persian Plague,Persia,1772,1773,2000,      ,      ,827951488, Respiratory     
French Dysentery Epidemic of 1779,France,1779,1779,175,      ,      ,893645786, Non-Respiratory 
Smallpox Epidemic of Mexico City,Mexico City,1779,1779,18,,,893645786, Non-Respiratory 
Pandemic Influenza,Europe,1781,1782,300,      ,      ,893645786, Respiratory     
Tunisian Plague,Tunisia,1784,1785,18,      ,      ,917471770, Non-Respiratory 
Egyptian Plague,Egypt,1791,1791,60,,,943524762, Non-Respiratory 
Prussian Army Dysentery Epidemic,France - Prussian Army,1792,1792,12,      ,      ,944787827, Respiratory     
German Smallpox Epidemic,Germany,1796,1796,65,0,0,949840090,Respiratory
Smallpox epidemic in Britain and Ireland,Great Britain and Ireland,1796,1796,35,      ,      ,949840090, Non-Respiratory 
British Smallpox Epidemic of 1796,Britain,1796,1796,35,      ,      ,949840090, Non-Respiratory 
Italian Typhus Epidemics of 1796-1800,Italy,1796,1800,20,      ,      ,949840090, Respiratory     
Mexican-Guatemalan Smallpox Epidemic,Mexico and Guatemala,1797,1798,20,      ,      ,951103155, Non-Respiratory 
Saint-Domingue/Haitian Yellow Fever Epidemic,Hispaniola Island,1802,1803,42,      ,      ,969700352, Non-Respiratory 
Haitian Yellow Fever Epidemic of 1802,Haiti,1802,1803,40,      ,      ,969700352, Respiratory     
Spanish Yellow Fever Epidemics,Spain,1803,1805,26,14,25,977104352, Non-Respiratory 
Russian smallpox epidemic,Russia,1804,1810,827,29,55,984508352, Respiratory     
Ottoman Plague Epidemic,Ottoman Empire,1812,1819,300,      ,      ,1036270605, Non-Respiratory 
1st Napoleon Russian Campaign Epidemics,French and Russian soldiers and civilians,1812,1812,190,      ,      ,1036270605, Non-Respiratory 
2nd Napoleon Russian Campaign Epidemics,French and Russian soldiers and civilians,1813,1814,250,      ,      ,1039939731, Respiratory     
Cocolizti epidemic of 1813,Mexico,1813,1815,20,,,1039939731, Non-Respiratory 
Caragea's plague,Romania,1813,1813,60,80,300,1039939731, Non-Respiratory 
Mexico City Typhus Epidemic,Mexico City,1813,1813,20,      ,      ,1039939731, Non-Respiratory 
First cholera pandemic,Global,1817,1824,125,      ,      ,1054616237, Unknown         
